Entity,Year,Access to improved drinking water,Access to unimproved drinking water,Access to limited drinking water,GDP per capita,Population (historical estimates),Death_Rate
Afghanistan,2009,50.66,31.23,4.88,1758.904419,27385310,14.41
Afghanistan,2019,74.35,16.04,1.91,2065.036133,37769496,6.62
Albania,2009,96.95,2.78,6.01,10313.91602,2930553,0.18
Albania,2019,96.97,3.03,2.22,13656.59277,2873883,0.12
Algeria,2009,97.42,2.32,5.34,10782.34766,35196040,1.48
Algeria,2019,99.26,0.68,5.02,11521.98438,42705372,0.89
Angola,2009,65.06,13.31,15.49,7643.495605,22507674,114.22
Angola,2019,66.17,19.48,9.28,6670.331543,32353592,61.41
Antigua and Barbuda,2009,97.21,2.7,0,20048.02148,84546,1.59
Argentina,2009,98.24,1.13,0,21519.89453,40684344,0.74
Armenia,2009,98.74,0.97,0.85,9052.383789,2964300,0.25
Armenia,2019,99.97,0.03,0,13653.76367,2820604,0.11
Australia,2009,99.86,0.14,0,44649.16016,21660898,0.09
Australia,2019,99.97,0.03,0,49309.11328,25357168,0.09
Austria,2009,100,0,0,51030.72656,8342939,0.01
Austria,2019,100,0,0,55833.55859,8879939,0.01
Azerbaijan,2009,88.7,5.84,4,13565.85547,9119630,1.33
Azerbaijan,2019,96.45,3.33,1.04,14442.04102,10232761,0.8
Bahamas,2009,98.63,1.37,0,36543.08203,368064,1
Bahamas,2019,98.89,1.11,0,36432.51953,404563,0.93
Bahrain,2009,99.98,0.02,0,44759.39453,1179460,1.9
Bahrain,2019,100,0,0,45311.86328,1494195,1.28
Bangladesh,2009,97.31,1.07,1.07,2762.18042,146706816,41.83
Bangladesh,2019,98.73,0.51,1.14,4753.727051,165516224,26.64
Barbados,2009,98.68,1.32,0.27,16019.71484,273801,0.85
Barbados,2019,98.78,1.22,0.27,15639.04785,280193,0.76
Belarus,2009,99.61,0.39,1.81,16014.11523,9757710,0.05
Belarus,2019,99.88,0.12,3.36,19279.20898,9673971,0.04
Belgium,2009,100,0,0,47064.78906,10801357,0.12
Belgium,2019,100,0,0,51944.16797,11510569,0.09
Belize,2009,94.45,4.26,1.17,7257.734863,314178,3.89
Belize,2019,99.65,0.35,1.25,7251.88623,389103,3.15
Benin,2009,71.85,20.57,7.98,2724.084717,9172514,71.92
Benin,2019,74.5,21.83,9.2,3287.30957,12290443,49.97
Bermuda,2009,99.93,0.07,0,89961.98438,63375,0.34
Bermuda,2019,99.9,0.1,0,81804.26563,63833,0.28
Bhutan,2009,93.61,2.14,1.99,7393.917969,697682,25.18
Bhutan,2019,99.76,0.18,2.47,11864.7666,767467,16.41
